"","id","passer_x","passer_y","receiver_x","receiver_y","to_receiver_x","to_receiver_y","ball_start_x","ball_start_y","ball_start_z","ball_end_x","ball_end_y","ball_end_z","to_receiver","assist_opp","pass_type","frame","game_clock","oteam","dteam","passer","receiver","start_clock","complete","is_to","end_clock","led_to_shot","inbounds","backcourt","reversal","secondary_assist","season","game_code","period","chance_id","possession_id","pbp_id"
"20","2017102117_1_47407",32.53,30.26,17.86,41.09,NA,NA,30.05,32.83,4.8,21.29,40.32,5.33,NA,0,"perimeter",2287,641.359985351562,17,25,323133616590607,721664536625359,641.359985351562,1,0,641,1,0,0,0,0,2017,2017102117,1,"2017102117_1_47042","2017102117_1_47042",NA
"21","2017102117_1_47622",25.72,31.25,NA,NA,19.93,28.5,23.12,29.34,7.02,22.42,27.63,7.4,487201425270005,0,"other",2502,632.760009765625,17,25,323133616590607,NA,632.760009765625,0,1,632,0,0,0,0,0,2017,2017102117,1,"2017102117_1_47608","2017102117_1_47042",NA
"22","2017102117_1_47720",44.25,7.17,NA,NA,NA,NA,42.35,5.09,7.53,22.91,4.25,5.5,NA,0,"other",2600,628.840026855469,25,17,487201425270005,NA,628.840026855469,0,0,626.880004882812,0,0,0,0,0,2017,2017102117,1,"2017102117_1_47623","2017102117_1_47623",NA
"23","2017102117_1_48201",23.34,-1.37,26.68,12.31,NA,NA,23.94,2.54,5.19,25.49,9.79,5.02,NA,0,"perimeter",2841,626.840026855469,25,17,862504243765291,487201425270005,626.840026855469,1,0,626.840026855469,0,1,0,0,0,2017,2017102117,1,"2017102117_1_47770","2017102117_1_47623",NA
"24","2017102117_1_48285",24.87,5.75,NA,NA,23.86,13.19,22.29,8.47,0.62,26.46,12.11,0.73,311420339272439,0,"other",2925,623.919982910156,25,17,487201425270005,NA,623.919982910156,0,1,623,0,0,0,0,0,2017,2017102117,1,"2017102117_1_47770","2017102117_1_47623",NA
"25","2017102117_1_48337",52.1,32,41.84,20.31,NA,NA,49.17,30.33,3.75,38.18,21.42,2.89,NA,1,"other",2977,621.840026855469,17,25,311420339272439,245349225423068,621.840026855469,1,0,621.400024414062,1,0,1,0,0,2017,2017102117,1,"2017102117_1_48285","2017102117_1_48285",NA
"26","2017102117_1_48571",37.18,4.6,43.34,21.47,NA,NA,38.15,7.95,5.5,40.98,18.43,6.51,NA,0,"other",3211,612.47998046875,25,17,862504243765291,725627757610248,612.47998046875,1,0,612,0,0,0,0,0,2017,2017102117,1,"2017102117_1_48387","2017102117_1_48387",NA
"27","2017102117_1_48665",30.77,14.11,25.15,23.77,NA,NA,27.98,16.64,2.11,24.66,20.05,1.46,NA,1,"attacking",3305,608.719970703125,25,17,725627757610248,608235943731620,608.719970703125,1,0,608.559997558594,1,0,0,0,0,2017,2017102117,1,"2017102117_1_48387","2017102117_1_48387",NA
"28","2017102117_1_49244",53.73,11.67,12.64,23.93,NA,NA,51.26,13.22,5.66,15.35,25.73,8.91,NA,1,"post entry",3884,585.559997558594,25,17,487201425270005,608235943731620,585.559997558594,1,0,584.679992675781,1,0,1,0,0,2017,2017102117,1,"2017102117_1_49142","2017102117_1_49142",NA
"29","2017102117_1_49931",41.99,21.8,27.72,10.52,NA,NA,40.97,18.75,2.97,30.91,12.38,2.86,NA,0,"perimeter",4451,567.200012207031,25,17,487201425270005,862504243765291,567.200012207031,1,0,566.719970703125,0,0,0,0,0,2017,2017102117,1,"2017102117_1_49472","2017102117_1_49472",NA
"30","2017102117_1_49954",32.61,11.98,37.22,13.74,NA,NA,34.73,12.36,3.93,35.75,12.72,4.19,NA,0,"handoff",4474,566.280029296875,25,17,862504243765291,487201425270005,566.280029296875,1,0,566.200012207031,0,0,0,0,0,2017,2017102117,1,"2017102117_1_49472","2017102117_1_49472",NA
"31","2017102117_1_50010",13.4,4.96,18.94,14.53,NA,NA,14.69,8.36,3.22,16.61,12.37,0.5,NA,1,"attacking",4530,564.039978027344,25,17,487201425270005,608235943731620,564.039978027344,1,0,563.880004882812,1,0,0,0,0,2017,2017102117,1,"2017102117_1_49472","2017102117_1_49472",NA
"32","2017102117_1_50127",95.22,22.21,74.06,20.47,NA,NA,91.96,21.99,5.91,78.04,21,5.83,NA,0,"other",4647,559.400024414062,17,25,311420339272439,245349225423068,559.400024414062,1,0,558.919982910156,0,1,1,0,0,2017,2017102117,1,"2017102117_1_50048","2017102117_1_50048",NA
"33","2017102117_1_50291",21.91,8.17,22.91,16.09,NA,NA,23.65,11.65,4.06,23.83,12.32,4.48,NA,0,"elbow entry",4811,552.840026855469,17,25,245349225423068,323133616590607,552.840026855469,1,0,552.760009765625,0,0,0,0,0,2017,2017102117,1,"2017102117_1_50048","2017102117_1_50048",NA
"34","2017102117_1_50451",9.9,6.91,32.22,26.68,NA,NA,12.73,8.54,7.31,30.77,23.34,4.87,NA,0,"perimeter",4971,546.440002441406,17,25,323133616590607,721664536625359,546.440002441406,1,0,545.880004882812,0,0,0,0,0,2017,2017102117,1,"2017102117_1_50048","2017102117_1_50048",NA
"35","2017102117_1_50527",13.07,20.36,5.47,29.36,NA,NA,10.87,22.74,9.99,7.06,27.11,10.43,NA,1,"interior",5047,543.400024414062,17,25,721664536625359,245349225423068,543.400024414062,1,0,542.960021972656,1,0,0,0,0,2017,2017102117,1,"2017102117_1_50048","2017102117_1_50048",NA
"36","2017102117_1_50629",95.91,21.76,82.79,35.5,NA,NA,92.2,22.5,5.83,83.4,31.5,1.76,NA,0,"other",5149,539.320007324219,25,17,175966439557606,487201425270005,539.320007324219,1,0,538.719970703125,0,1,1,0,0,2017,2017102117,1,"2017102117_1_50543","2017102117_1_50543",NA
"37","2017102117_1_50865",17.68,46.69,16.55,48.75,NA,NA,17.92,47.91,3.72,17.51,48.19,4.02,NA,0,"handoff",5385,529.880004882812,25,17,487201425270005,862504243765291,529.880004882812,1,0,529.799987792969,0,0,0,0,0,2017,2017102117,1,"2017102117_1_50543","2017102117_1_50543",NA
"38","2017102117_1_50989",33.95,38.39,41.75,35.73,NA,NA,37.21,37.49,5.91,38.57,36.61,5.85,NA,0,"perimeter",5509,524.919982910156,25,17,862504243765291,175966439557606,524.919982910156,1,0,524.840026855469,0,0,0,0,0,2017,2017102117,1,"2017102117_1_50543","2017102117_1_50543",NA
"39","2017102117_1_51006",41.68,34.06,41.75,11.58,NA,NA,41.62,30.28,4.51,42.31,14.3,4.98,NA,0,"other",5526,524.239990234375,25,17,175966439557606,725627757610248,524.239990234375,1,0,523.840026855469,1,0,0,1,0,2017,2017102117,1,"2017102117_1_50543","2017102117_1_50543",NA
"40","2017102117_1_51298",94.24,26.68,78.08,35.19,NA,NA,91.7,28.63,5.37,81.69,33.35,7.02,NA,0,"other",5818,512.559997558594,17,25,721664536625359,245349225423068,512.559997558594,1,0,512.159973144531,0,1,1,0,0,2017,2017102117,1,"2017102117_1_51198","2017102117_1_51198",NA
"41","2017102117_1_51467",23.38,34.51,32.49,20.5,NA,NA,25.18,31.82,6.22,30.19,23.58,6.97,NA,0,"perimeter",5987,505.799987792969,17,25,245349225423068,721664536625359,505.799987792969,1,0,505.440002441406,0,0,0,0,0,2017,2017102117,1,"2017102117_1_51198","2017102117_1_51198",NA
"42","2017102117_1_51545",29.21,8.89,12.35,3.36,NA,NA,26.88,6.1,6.17,15.13,2.47,7.01,NA,0,"perimeter",6065,502.679992675781,17,25,721664536625359,323133616590607,502.679992675781,1,0,502.279998779297,0,0,0,0,0,2017,2017102117,1,"2017102117_1_51198","2017102117_1_51198",NA
